实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_openmp,10000,104857601,4,0.015862,0.000987,0.015033,0.017249,PASS
ntt_openmp,10000,104857601,8,0.041528,0.002320,0.039567,0.044787,PASS
ntt_crt_arbitrary_serial,10000,104857601,1,0.082928,0.000613,0.082470,0.083794,PASS
ntt_crt_arbitrary_pthread,10000,104857601,1,0.047716,0.000421,0.047311,0.048296,PASS
ntt_crt_arbitrary_pthread,10000,104857601,2,0.039927,0.000294,0.039604,0.040316,PASS
ntt_crt_arbitrary_pthread,10000,104857601,4,0.035520,0.000685,0.034771,0.036426,PASS
ntt_crt_arbitrary_pthread,10000,104857601,8,0.034982,0.001019,0.034038,0.036397,PASS
ntt_crt_arbitrary_openmp,10000,104857601,1,0.084435,0.000269,0.084121,0.084778,PASS
ntt_crt_arbitrary_openmp,10000,104857601,2,0.064890,0.000825,0.064030,0.066003,PASS
ntt_crt_arbitrary_openmp,10000,104857601,4,0.038627,0.001288,0.036960,0.040097,PASS
ntt_crt_arbitrary_openmp,10000,104857601,8,0.039719,0.000556,0.039187,0.040487,PASS
ntt_serial,10000,469762049,1,0.026173,0.000461,0.025674,0.026786,PASS_REF_SELF_SKIP
ntt_pthread,10000,469762049,1,0.032522,0.001188,0.030897,0.033704,PASS
ntt_pthread,10000,469762049,2,0.024654,0.000726,0.023641,0.025303,PASS
ntt_pthread,10000,469762049,4,0.023614,0.000940,0.022292,0.024393,PASS
ntt_pthread,10000,469762049,8,0.070517,0.031518,0.028343,0.104097,PASS
ntt_pthread_optimized,10000,469762049,1,0.030225,0.000469,0.029600,0.030730,PASS
ntt_pthread_optimized,10000,469762049,2,0.021562,0.000631,0.020997,0.022443,PASS
ntt_pthread_optimized,10000,469762049,4,0.020156,0.000237,0.019824,0.020365,PASS
ntt_pthread_optimized,10000,469762049,8,0.025026,0.003410,0.020301,0.028221,PASS
ntt_openmp,10000,469762049,1,0.026155,0.000283,0.025942,0.026555,PASS
ntt_openmp,10000,469762049,2,0.018689,0.000241,0.018356,0.018917,PASS
ntt_openmp,10000,469762049,4,0.017552,0.000866,0.016875,0.018774,PASS
ntt_openmp,10000,469762049,8,0.042249,0.004831,0.037825,0.048970,PASS
ntt_crt_arbitrary_serial,10000,469762049,1,0.084063,0.000308,0.083704,0.084456,PASS
ntt_crt_arbitrary_pthread,10000,469762049,1,0.050193,0.002484,0.048196,0.053694,PASS
ntt_crt_arbitrary_pthread,10000,469762049,2,0.040081,0.001207,0.038469,0.041374,PASS
ntt_crt_arbitrary_pthread,10000,469762049,4,0.037472,0.001663,0.035668,0.039681,PASS
ntt_crt_arbitrary_pthread,10000,469762049,8,0.036406,0.000273,0.036058,0.036725,PASS
ntt_crt_arbitrary_openmp,10000,469762049,1,0.085526,0.000181,0.085286,0.085725,PASS
ntt_crt_arbitrary_openmp,10000,469762049,2,0.060527,0.000794,0.059537,0.061480,PASS
ntt_crt_arbitrary_openmp,10000,469762049,4,0.038071,0.000284,0.037687,0.038365,PASS
ntt_crt_arbitrary_openmp,10000,469762049,8,0.045705,0.004695,0.040362,0.051791,PASS
ntt_serial,10000,1337006139375617,1,0.028031,0.000340,0.027759,0.028510,PASS_REF_SELF_SKIP
ntt_pthread,10000,1337006139375617,1,0.035848,0.001399,0.033893,0.037091,PASS
ntt_pthread,10000,1337006139375617,2,0.025033,0.000824,0.024189,0.026151,PASS
ntt_pthread,10000,1337006139375617,4,0.024482,0.000683,0.023517,0.024999,PASS
ntt_pthread,10000,1337006139375617,8,0.038749,0.004798,0.032236,0.043655,PASS
ntt_pthread_optimized,10000,1337006139375617,1,0.036819,0.005347,0.032755,0.044374,PASS
ntt_pthread_optimized,10000,1337006139375617,2,0.023258,0.000280,0.022864,0.023485,PASS
ntt_pthread_optimized,10000,1337006139375617,4,0.020619,0.001147,0.019235,0.022044,PASS
ntt_pthread_optimized,10000,1337006139375617,8,0.022532,0.001219,0.020984,0.023962,PASS
ntt_openmp,10000,1337006139375617,1,0.027434,0.000150,0.027226,0.027574,PASS
ntt_openmp,10000,1337006139375617,2,0.020065,0.000216,0.019800,0.020330,PASS
ntt_openmp,10000,1337006139375617,4,0.017256,0.000111,0.017126,0.017397,PASS
ntt_openmp,10000,1337006139375617,8,0.042718,0.001670,0.041133,0.045026,PASS
ntt_crt_arbitrary_serial,10000,1337006139375617,1,0.083360,0.000171,0.083118,0.083482,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,1,0.049622,0.000441,0.049211,0.050234,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,2,0.039128,0.000269,0.038795,0.039455,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,4,0.035588,0.000383,0.035074,0.035992,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,8,0.035563,0.000650,0.034773,0.036365,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,1,0.084249,0.000323,0.083797,0.084531,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,2,0.062248,0.001680,0.060209,0.064323,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,4,0.036533,0.000771,0.035627,0.037511,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,8,0.040524,0.004496,0.036347,0.046764,PASS
ntt_serial,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
