实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_crt_arbitrary_pthread,10000,1337006139375617,8,0.060444,0.002732,0.056874,0.063507,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,1,0.094650,0.018162,0.069571,0.111992,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,2,0.058802,0.003749,0.055142,0.063954,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,4,0.044946,0.008996,0.032754,0.054188,PASS
ntt_crt_arbitrary_openmp,10000,1337006139375617,8,0.087651,0.006889,0.079811,0.096579,PASS
ntt_serial,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,10000,100000000000000000,1,0.067894,0.008022,0.056827,0.075589,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,1,0.055904,0.012821,0.045669,0.073982,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,2,0.079735,0.025974,0.051202,0.114036,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,4,0.099447,0.004142,0.093737,0.103432,PASS
ntt_crt_arbitrary_pthread,10000,100000000000000000,8,0.086923,0.017881,0.063357,0.106647,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,1,0.063877,0.009818,0.054866,0.077531,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,2,0.055497,0.008769,0.044882,0.066358,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,4,0.059021,0.002390,0.055682,0.061146,PASS
ntt_crt_arbitrary_openmp,10000,100000000000000000,8,0.087780,0.009192,0.075093,0.096579,PASS
ntt_serial,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,10000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,10000,1000000000000000000,1,0.090393,0.004515,0.085608,0.096447,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,1,0.062720,0.014578,0.044591,0.080287,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,2,0.073258,0.009621,0.061638,0.085198,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,4,0.086037,0.003829,0.081409,0.090786,PASS
ntt_crt_arbitrary_pthread,10000,1000000000000000000,8,0.073064,0.015498,0.057688,0.094278,PASS
ntt_crt_arbitrary_openmp,10000,1000000000000000000,1,0.090250,0.030470,0.047177,0.112872,PASS
